ASM330LHH: | Acc[mg]: -139 83 1088 | Gyr[mdps]: 420 -41510 -21840 |
ASM330LHH: | Acc[mg]: 117 -15 970 | Gyr[mdps]: 6580 -1960 3500 |
ASM330LHH: | Acc[mg]: 138 3 1011 | Gyr[mdps]: 10640 22750 -3360 |
ASM330LHH: | Acc[mg]: 185 -215 1075 | Gyr[mdps]: 67830 17150 -9730 |
ASM330LHH: | Acc[mg]: 190 -180 907 | Gyr[mdps]: -2800 2450 -9730 |
ASM330LHH: | Acc[mg]: 90 -53 993 | Gyr[mdps]: 15330 56070 -73220 |
ASM330LHH: | Acc[mg]: 39 50 838 | Gyr[mdps]: 129080 -102060 -68740 |
ASM330LHH: | Acc[mg]: 173 64 978 | Gyr[mdps]: -47950 -38080 -38990 |
ASM330LHH: | Acc[mg]: 67 -139 1066 | Gyr[mdps]: -490 7280 31010 |
ASM330LHH: | Acc[mg]: 17 -129 1000 | Gyr[mdps]: 33460 7140 21490 |
ASM330LHH: | Acc[mg]: 65 -63 988 | Gyr[mdps]: 24010 -10850 32340 |
ASM330LHH: | Acc[mg]: 42 -45 968 | Gyr[mdps]: -107590 24640 60690 |
ASM330LHH: | Acc[mg]: -37 -337 919 | Gyr[mdps]: 7280 -9940 7420 |
ASM330LHH: | Acc[mg]: 3 -338 977 | Gyr[mdps]: -13440 -34090 34440 |
ASM330LHH: | Acc[mg]: -230 -392 972 | Gyr[mdps]: 22750 -10570 5880 |
ASM330LHH: | Acc[mg]: 19 193 803 | Gyr[mdps]: -5530 38080 2730 |
ASM330LHH: | Acc[mg]: 170 187 813 | Gyr[mdps]: 5390 -28980 -23100 |
ASM330LHH: | Acc[mg]: 163 247 940 | Gyr[mdps]: 65870 90370 2100 |
ASM330LHH: | Acc[mg]: 94 227 987 | Gyr[mdps]: 1610 -2240 -350 |
ASM330LHH: | Acc[mg]: 95 226 988 | Gyr[mdps]: 630 -1330 -420 |
ASM330LHH: | Acc[mg]: 95 228 987 | Gyr[mdps]: 700 -1400 -420 |
ASM330LHH: | Acc[mg]: 94 227 987 | Gyr[mdps]: 630 -1400 -560 |
ASM330LHH: | Acc[mg]: 95 229 987 | Gyr[mdps]: 770 -1540 -420 |
ASM330LHH: | Acc[mg]: 95 229 987 | Gyr[mdps]: 630 -1330 -490 |
ASM330LHH: | Acc[mg]: 96 225 987 | Gyr[mdps]: 770 -1400 -490 |
ASM330LHH: | Acc[mg]: 95 229 988 | Gyr[mdps]: 910 -1680 -420 |
ASM330LHH: | Acc[mg]: 97 230 986 | Gyr[mdps]: 560 -1330 -420 |
ASM330LHH: | Acc[mg]: 95 230 986 | Gyr[mdps]: 560 -1330 -490 |
ASM330LHH: | Acc[mg]: 95 228 987 | Gyr[mdps]: 700 -1400 -490 |
ASM330LHH: | Acc[mg]: 95 227 986 | Gyr[mdps]: 630 -1330 -490 |
ASM330LHH: | Acc[mg]: 95 228 986 | Gyr[mdps]: 770 -1400 -420 |
ASM330LHH: | Acc[mg]: 95 228 987 | Gyr[mdps]: 630 -1400 -490 |
ASM330LHH: | Acc[mg]: 94 228 987 | Gyr[mdps]: 700 -1400 -490 |
ASM330LHH: | Acc[mg]: 95 228 988 | Gyr[mdps]: 770 -1470 -420 |
ASM330LHH: | Acc[mg]: 96 228 986 | Gyr[mdps]: 840 -1470 -490 |
ASM330LHH: | Acc[mg]: 96 229 987 | Gyr[mdps]: 910 -1540 -490 |
ASM330LHH: | Acc[mg]: 96 228 987 | Gyr[mdps]: 490 -1190 -490 |
ASM330LHH: | Acc[mg]: 96 228 987 | Gyr[mdps]: 490 -1330 -420 |
ASM330LHH: | Acc[mg]: 95 230 987 | Gyr[mdps]: 560 -1330 -420 |
ASM330LHH: | Acc[mg]: 95 229 986 | Gyr[mdps]: 560 -1400 -490 |
ASM330LHH: | Acc[mg]: 96 228 987 | Gyr[mdps]: 490 -1260 -490 |
ASM330LHH: | Acc[mg]: 95 228 986 | Gyr[mdps]: 770 -1540 -490 |
ASM330LHH: | Acc[mg]: 95 227 987 | Gyr[mdps]: 770 -1540 -560 |
ASM330LHH: | Acc[mg]: 95 228 987 | Gyr[mdps]: 840 -1540 -490 |
ASM330LHH: | Acc[mg]: 95 228 988 | Gyr[mdps]: 770 -1400 -420 |
ASM330LHH: | Acc[mg]: 94 227 988 | Gyr[mdps]: 700 -1400 -490 |
ASM330LHH: | Acc[mg]: 94 228 986 | Gyr[mdps]: 700 -1470 -420 |
ASM330LHH: | Acc[mg]: 94 228 988 | Gyr[mdps]: 700 -1400 -490 |
ASM330LHH: | Acc[mg]: 95 227 987 | Gyr[mdps]: 700 -1400 -420 |
ASM330LHH: | Acc[mg]: 95 227 987 | Gyr[mdps]: 700 -1470 -420 |
ASM330LHH: | Acc[mg]: 94 227 987 | Gyr[mdps]: 700 -1540 -490 |
ASM330LHH: | Acc[mg]: 94 228 987 | Gyr[mdps]: 840 -1610 -420 |
ASM330LHH: | Acc[mg]: 94 228 987 | Gyr[mdps]: 700 -1400 -420 |
ASM330LHH: | Acc[mg]: -130 71 1045 | Gyr[mdps]: -25760 -25340 54670 |
